G,0.89,-0.13506,0.05,-0.08,1.69
G,0.87,-0.098341,-0.01,-0.06,1.64
G,0.86,-0.083465,-0.05,-0.05,1.67
G,0.9,-0.048593,-0.09,-0.03,1.62
G,0.94,-0.048593,-0.11,-0.03,1.62
G,1,0.016,-0.11,0.01,1.6
G,1.04,0,-0.11,0,1.58
G,1.08,0.0163,-0.11,0.01,1.63
G,1.08,0.032598,-0.12,0.02,1.63
G,1.08,0.063983,-0.13,0.04,1.6
G,1.07,0.077468,-0.14,0.05,1.55
G,1.05,0.092345,-0.15,0.06,1.54
G,1.03,0.094143,-0.16,0.06,1.57
G,1.01,0.12067,-0.18,0.08,1.51
G,0.99,0.14676,-0.19,0.1,1.47
G,0.98,0.2137,-0.27,0.15,1.43
G,0.97,0.20622,-0.33,0.15,1.38
G,0.98,0.23855,-0.37,0.17,1.41
G,0.99,0.2981,-0.41,0.21,1.43
G,1.02,0.30552,-0.43,0.22,1.4
G,1.09,0.33991,-0.43,0.24,1.43
G,1.16,0.3921,-0.43,0.27,1.47
G,1.21,0.4173,-0.44,0.28,1.51
G,1.23,0.45215,-0.45,0.3,1.53
G,1.25,0.46692,-0.45,0.3,1.58
G,1.26,0.50016,-0.45,0.32,1.59
G,1.25,0.50645,-0.46,0.32,1.61
G,1.24,0.52171,-0.47,0.33,1.61
G,1.22,0.54178,-0.47,0.35,1.58
G,1.2,0.56012,-0.46,0.36,1.59
G,1.19,0.56364,-0.45,0.36,1.6
G,1.14,0.54025,-0.39,0.34,1.62
G,1.12,0.49114,-0.33,0.31,1.61
G,1.12,0.47874,-0.28,0.3,1.62
G,1.15,0.45046,-0.23,0.28,1.63
G,1.19,0.42418,-0.18,0.26,1.65
G,1.23,0.41564,-0.15,0.25,1.68
G,1.29,0.40409,-0.11,0.24,1.7
G,1.33,0.36064,-0.04,0.21,1.73
G,1.36,0.3305,0.02,0.19,1.75
G,1.38,0.27881,0.08,0.16,1.75
G,1.39,0.26749,0.13,0.15,1.79
G,1.4,0.19431,0.18,0.11,1.77
G,1.39,0.15909,0.21,0.09,1.77
G,1.37,0.14065,0.23,0.08,1.76
G,1.35,0.1217,0.25,0.07,1.74
G,1.31,0.14065,0.25,0.08,1.76
G,1.31,0.10254,0.25,0.06,1.71
